region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
area_pop_003245,1451.992434589887,1452,8432.079434167574,0.17219861908632855,1214056.926720015,0.4687500000000058,3097.5838604583873,33234.63163277694,212333.57017850585,-77.11660088611211,38.91454339395703
area_pop_003246,557.6225697504617,558,8432.079434167574,0.06613108594434286,1214056.926720015,0.4687500000000058,1189.594815467637,34336.47414725893,212333.57017850585,-77.10389002437137,38.91450342774418
area_pop_003247,2219.3630080626162,2219,8432.079434167574,0.2632047083272899,1214056.926720015,0.4687500000000058,4734.641083866856,35438.31666174092,212333.57017850585,-77.09117917627826,38.91446215814048
area_pop_003248,3952.417400657838,3952,8432.079434167574,0.46873578830890433,1214056.926720015,0.4687500000000058,8431.82378806995,36540.159176222915,212333.57017850585,-77.07846834227067,38.91441958514792
area_pop_003249,3807.0162897612445,3807,8432.079434167574,0.451491985990414,1214056.926720015,0.4687500000000058,8121.634751490555,37642.00169070491,212333.57017850585,-77.06575752278654,38.914375708768546
area_pop_003250,5557.107146992769,5557,8432.079434167574,0.6590435005243015,1214056.926720015,0.4687500000000058,11855.161913584428,38743.8442051869,212333.57017850585,-77.05304671826377,38.914330529004445
area_pop_003251,6509.865659068491,6510,8432.079434167574,0.7720356182473694,1214056.926720015,0.4687500000000058,13887.71340601261,43151.214263114874,212333.57017850585,-77.00220365854435,38.914136776144936
area_pop_003252,2914.3779607558954,2914,8432.079434167574,0.3456298038354055,1214056.926720015,0.4687500000000058,6217.339649612501,44253.05677759687,212333.57017850585,-76.98949293539691,38.91408507949086
area_pop_003253,859.8732278188104,860,8432.079434167574,0.10197641454070318,1214056.926720015,0.4687500000000058,1834.396219346773,45354.89929207885,212333.57017850585,-76.9767822298382,38.91403207946597
area_pop_003254,808.2472814141047,808,8432.079434167574,0.09585385049137597,1214056.926720015,0.4687500000000058,1724.2608670167353,46456.741806560836,212333.57017850585,-76.96407154230614,38.91397777607279
area_pop_003255,56.12829710776991,56,8432.079434167574,0.0066565190171635254,1214056.926720015,0.4687500000000058,119.740367163241,47558.584321042836,212333.57017850585,-76.95136087323858,38.9139221693139
area_pop_003256,2391.537463165143,2392,8432.079434167574,0.2836236875893756,1214056.926720015,0.4687500000000058,5101.946588085576,53067.796893452796,212333.57017850585,-76.88780782019418,38.91362458512927
area_pop_003257,3783.833633710124,3784,8432.079434167574,0.4487426456607698,1214056.926720015,0.4687500000000058,8072.178418581499,54169.63940793479,212333.57017850585,-76.87509727110904,38.913561158234245
area_pop_003258,4574.711906774615,4575,8432.079434167574,0.5425366236752295,303514.2316799957,0.11718749999999835,39037.541604477265,39570.2260910484,212609.03080712634,-77.04349864579935,38.916778396629425
area_pop_003259,5307.916139587592,5308,8432.079434167574,0.6294907657154437,303514.2316799957,0.11718749999999835,45294.21772448142,40121.147348289385,212609.03080712634,-77.03714304662304,38.91675482849531
area_pop_003260,4745.171398610779,4745,8432.079434167574,0.56275221736917,303514.2316799957,0.11718749999999835,40492.12926814588,40672.06860553038,212609.03080712634,-77.0307874514338,38.916730934506354
